tag,method,path,status
ncs:llm,GET,/api/bessj/abc/1.0,400
ncs:llm,GET,/api/remainder/10.5/3,400
ncs:llm,GET,/api/bessj/10/5.0,200
ncs:llm,GET,/api/fisher/2147483647/10/2.5,400
ncs:llm,GET,/api/remainder/10/3,200
ncs:llm,GET,/api/fisher/5/10/2.5,200
ncs:llm,GET,/api/remainder/10,404
ncs:llm,GET,/api/remainder/-10/3,200
ncs:llm,GET,/api/remainder/10/-3,200
ncs:llm,GET,/api/bessj/2/1.0,400
ncs:llm,GET,/api/gammq/2.0/1.0,200
ncs:llm,GET,/api/bessj/2,404
ncs:llm,GET,/api/triangle/-3/-4/-5,200
ncs:llm,GET,/api/triangle/0/3/4,200
ncs:llm,GET,/api/gammq/0.5/2.0,200
ncs:llm,GET,/api/triangle/1/2/3,200
ncs:llm,GET,/api/gammq/3.0/3.0,200
ncs:llm,GET,/api/expint/1/xyz,400
ncs:llm,GET,/api/fisher/5/10/NaN,200
ncs:llm,GET,/api/triangle/3.5/4/5,400
ncs:llm,GET,/api/expint/0/1.0,200
ncs:llm,GET,/api/expint/1/0.0,400
ncs:llm,GET,/api/gammq/0.0/1.0,400
ncs:llm,GET,/api/gammq/2.0/0.0,200
ncs:llm,GET,/api/fisher/a/b/c,400
ncs:llm,GET,/api/expint/-1/1.0,400
ncs:llm,GET,/api/expint/1/-1.0,400
ncs:llm,GET,/api/triangle/a/b/c,400
ncs:llm,GET,/api/remainder/7/7,200
ncs:llm,GET,/api/expint/2147483647/1.0,200
ncs:llm,GET,/api/triangle/abc/4/5,400
ncs:llm,GET,/api/fisher/-1/10/2.5,200
ncs:llm,GET,/api/fisher/5/10/-1.0,200
ncs:llm,GET,/api/bessj/1.0,404
ncs:llm,GET,/api/bessj/-1/1.0,400
ncs:llm,GET,/api/bessj/2/-1.0,400
ncs:llm,GET,/api/bessj/2/xyz,400
ncs:llm,GET,/api/fisher/0/10/2.5,200
ncs:llm,GET,/api/fisher/5/0/2.5,200
