id,title,authors,year,venue,search_strings,v1_decision,v1_reason,v2_decision,v2_reason
213933,Investigating web APIs on the World Wide Web,"Domingue, John, Maleshkova, Maria, Pedrinaci, Carlos",2012,IEEE,String A,EXCLUDE,IC2 - Published before 2018,,
213942,Using semantics for automating the authentication of Web APIs,"Alvaro, Guillermo, Domingue, John, Maleshkova, Maria, Martinez, Ivan, Pedrinaci, Carlos",2012,,String A,EXCLUDE,IC2 - Published before 2018,,
455847,Specification of high-level application programming interfaces (SemSorGrid4Env),"De Roure, David C., Martinez, Kirk, Page, Kevin R., Sadler, Jason",2012,,String B,EXCLUDE,IC2 - Published before 2018,,
942872,A Knowledge-based Automated Debugger in Learning System,"Aljunid, Syed Ahmad, Nordin, Mohd Jan, Shukur, Zarina, Zin, Abdullah Mohd",2012,arXiv,String B,EXCLUDE,IC2 - Published before 2018,,
2385407,How dangerous is your life? Personalising Government open crime data,"Garbett, Andrew, Kirman, Ben, Lawson, Shaun, Linehan, Conor, Wardman, Jamie",2012,,String B,EXCLUDE,IC2 - Published before 2018,,
4214867,An analysis of social network connect services,"Salvachúa, Joaquín, Sánchez, Víctor, Tapiador, Antonio",2012,arXiv,String B,EXCLUDE,IC2 - Published before 2018,,
4414924,Musical Program Auralisation: Empirical Studies,"Alty, James, Vickers, Paul",2013,,String B,EXCLUDE,IC2 - Published before 2018,,
8054767,Crisis Event Extraction Service (CREES) - Automatic Detection and Classification of Crisis-related Content on Social Media,"Alani, Harith, Burel, Gregoire",2018,,String A,EXCLUDE,EC4 - Out of domain,,
8295273,PEP4Django - A Policy Enforcement Point for Python Web Applications,"Da Silva, Carlos, Medeiros, Welkson, Sampaio, Silvio",2020,,String B,EXCLUDE,EC4 - Not related to REST/Web API,,
8389109,Network traffic analysis for threats detection in the Internet of Things,"Adebisi, B., Baker, T., Belguith, S., Bounceur, A., Epiphaniou, Gregory, Hammoudeh, M., Kayes, A. S. M., Pimlott, J.",2020,IEEE,String A,EXCLUDE,EC4 - Not related to REST/Web API,,
8567877,Incident detection using data from social media,"Georgakis, P, Petalas, Y, Salas, A",2020,IEEE,String B,EXCLUDE,EC4 - Out of domain,,
8568265,Traffic event detection framework using social media,"Ammari, A, Georgakis, P, Nwagboso, C, Petalas, I, Salas, A",2020,IEEE,String B,EXCLUDE,EC4 - Out of domain,,
8755956,Intelligent intrusion detection in low power IoTs,"Ahmadinia, Ali, Javed, Abbas, Larijani, Hadi, Saeed, Ahmed",2020,ACM,String B,EXCLUDE,EC4 - Not related to REST/Web API,,
9461354,Intra-exchange Cryptocurrency Arbitrage Bot,"Han, Eric",2019,,String B,EXCLUDE,EC4 - Out of domain,,
9850099,SplineAPI: A REST API for NLP Services,"B Liu, H Cunningham, I Mani, J Martin, L Padró",2016,,"String A, String B",EXCLUDE,IC2 - Published before 2018,,
16115856,Generation and Maintenance of Java Classes Based on Apiary Blueprint,"Hermann, Lukáš",2016,,String A,EXCLUDE,IC2 - Published before 2018,,
16117541,Jabber Bot Remoted by REST API,"Stískala, Viktor",2016,,"String A, String B",EXCLUDE,IC2 - Published before 2018,,
16120683,Cyber Threat Intelligence Platform,"Jacko, Jerguš",2016,,"String A, String B",EXCLUDE,IC2 - Published before 2018,,
16149799,TypeScript Application Generation from REST API Descriptions,"Lipjanec, Silvester",2020,,String A,INCLUDE,IC1-IC4,Include,"Đọc full-text, đủ tiêu chí IC1-IC5"
17024615,An Insight View of Kernel Visual Debugger in System Boot up,"Farag, Mohamed",2014,arXiv,String B,EXCLUDE,IC2 - Published before 2018,,
17039338,Modeling Morphology of Social Network Cascades,"Liu, Alex X., Shafiq, M. Zubair",2014,arXiv,String B,EXCLUDE,IC2 - Published before 2018,,
17137531,Empirical Evidence of Large-Scale Diversity in API Usage of   Object-Oriented Software,"Baudry, Benoit, Mendez, Diego, Monperrus, Martin",2014,arXiv,String B,EXCLUDE,IC2 - Published before 2018,,
17146536,Dynamics of Open-Source Software Developer's Commit Behavior: An   Empirical Investigation of Subversion,"Ma, Yutao, Wu, Yang, Xu, Youwei",2014,arXiv,String B,EXCLUDE,IC2 - Published before 2018,,
17168507,RDF Translator: A RESTful Multi-Format Data Converter for the Semantic   Web,"Hepp, Martin, Rodriguez-Castro, Bene, Stolz, Alex",2014,arXiv,String B,EXCLUDE,IC2 - Published before 2018,,
17186484,MPISE: Symbolic Execution of MPI Programs,"Chen, Zhenbang, Dong, Wei, Fu, Xianjin, Huang, Chun, Wang, Ji, Zhang, Yufeng",2014,arXiv,String B,EXCLUDE,IC2 - Published before 2018,,
17192842,Mining online social networks with Python to study urban mobility,"Colet, Pere, Tugores, Antònia",2014,arXiv,String B,EXCLUDE,IC2 - Published before 2018,,
17209388,Web API Fragility: How Robust is Your Web API Client,"Espinha, Tiago, Gross, Hans-Gerhard, Zaidman, Andy",2014,arXiv,String A,EXCLUDE,IC2 - Published before 2018,,
17221719,Building Program Vector Representations for Deep Learning,"Jin, Zhi, Li, Ge, Liu, Yuxuan, Mou, Lili, Peng, Hao, Xu, Yan, Zhang, Lu",2014,arXiv,String B,EXCLUDE,IC2 - Published before 2018,,
18026677,Correlation of Scholarly Networks and Social Networks,"Razmjou, Amir",2015,arXiv,String B,EXCLUDE,IC2 - Published before 2018,,
18041650,Contemporary Internet of Things platforms,"Mazhelis, Oleksiy, Mineraud, Julien, Su, Xiang, Tarkoma, Sasu",2015,arXiv,String B,EXCLUDE,IC2 - Published before 2018,,
18043200,A gap analysis of Internet-of-Things platforms,"Mazhelis, Oleksiy, Mineraud, Julien, Su, Xiang, Tarkoma, Sasu",2015,arXiv,String B,EXCLUDE,IC2 - Published before 2018,,
18061404,Improving software team collaboration with Synchronized Software   Development,"Levin, Stanislav, Yehudai, Amiram",2015,arXiv,String B,EXCLUDE,IC2 - Published before 2018,,
18068283,Automatic Repair of Real Bugs: An Experience Report on the Defects4J   Dataset,"Durieux, Thomas, Martinez, Matias, Monperrus, Martin, Sommerard, Romain, Xuan, Jifeng",2015,arXiv,String B,EXCLUDE,IC2 - Published before 2018,,
18074867,Benchmarking Machine Learning Technologies for Software Defect Detection,"Ahmed, Faheem, Aleem, Saiqa, Capretz, Luiz Fernando",2015,arXiv,String B,EXCLUDE,IC2 - Published before 2018,,
18098472,A history and future of Web APIs,"Boakes, Rich, Fremantle, Paul, Kopecky, Jack",2015,,"String A, String B",EXCLUDE,IC2 - Published before 2018,,
24716494,NeuroVault.org : a web-based repository for collecting and sharing unthresholded statistical maps of the human brain,"Camille eMaumet, Daniel S. Margulies, Gabriel eRivera, Gael eVaroquaux, Jean-Baptiste ePoline, Krzysztof Jacek Gorgolewski, Krzysztof Jacek Gorgolewski, Russell A. Poldrack, Satrajit S Ghosh, Tal eYarkoni, Thomas E. Nichols, Vanessa V Sochat, Yannick eSchwartz",2016,,String A,EXCLUDE,IC2 - Published before 2018,,
24737611,A Framework for Distributed Deep Learning Layer Design in Python,"McLeod, Clay",2016,arXiv,"String A, String B",EXCLUDE,IC2 - Published before 2018,,
24752021,"DGD Gallery: Storage, sharing, and publication of digital research data","Bobenko, Alexander I., Joswig, Michael, Mehner, Milan, Sechelmann, Stefan, Techter, Jan",2016,arXiv,"String A, String B",EXCLUDE,IC2 - Published before 2018,,
24766617,RWebData: A High-Level Interface to the Programmable Web,"Matter, Ulrich",2016,arXiv,"String A, String B",EXCLUDE,IC2 - Published before 2018,,
24770829,"MATISSE: A novel tool to access, visualize and analyse data from   planetary exploration missions","Antonelli, Lucio Angelo, Capria, Maria Teresa, Giommi, Paolo, Palomba, Ernesto, Zinzi, Angelo",2016,arXiv,String B,EXCLUDE,IC2 - Published before 2018,,
24798270,Web Infrastructure to Support e-Journal Preservation (and More),"Nelson, Michael L., Rosenthal, David S. H., Van de Sompel, Herbert",2016,arXiv,String B,EXCLUDE,IC2 - Published before 2018,,
26837899,Mobile iOS application for a non-profit TV,Sukhotin Mikhail,2016,,String B,EXCLUDE,IC2 - Published before 2018,,
26838929,GPS pinned messaging application,Mikhailova Daria,2016,,String B,EXCLUDE,IC2 - Published before 2018,,
29212520,Автоматизация создания перехватчиков событий в системе управления проектами Team Foundation Server с помощью Rest API для Visual Studio Team Services и Team Foundation Server,"Чебоксаров, В. А.",2016,,String B,EXCLUDE,IC1 - Not in English,,
29559742,COLOMBOS v3.0: leveraging gene expression compendia for cross-species analyses,"Bianco, Luca, Brilli, Matteo, Collado-Vides, Julio, Dierckxsens, Nicolas, Engelen, Kristof, Galardini, Marco, Gama-Castro, Socorro, Laukens, Kris, Ledezma-Tejeida, Daniela, Meysman, Pieter, Moretto, Marco, Romualdi, Chiara, Sonego, Paolo",2016,,String B,EXCLUDE,IC2 - Published before 2018,,
31287867,Mobile fitness apps for promoting physical activity on Twitter: the #RunKeeper case,"Mechant, Peter, Stragier, Jeroen",2016,,String B,EXCLUDE,IC2 - Published before 2018,,
32974670,The design of an indirect method for the human presence monitoring in the intelligent building,"Bilík, Petr, Fajkus, Michal, Machač, Jaroslav, Martinek, Radek, Nedoma, Jan, Vaňuš, Jan, Žídek, Jan",2019,,String A,EXCLUDE,EC4 - Not related to REST/Web API,,
39081548,Statically Checking Web API Requests in JavaScript,"Dolby, Julian, Laredo, Jim A., Wittern, Erik, Ying, Annie T. T., Zheng, Yunhui",2017,arXiv,String A,EXCLUDE,IC2 - Published before 2018,,
39973624,PREvant (Preview Servant): Composing Microservices into Reviewable and Testable Applications,"Schreiber, Marc",2020,,"String A, String B",EXCLUDE,EC4 - Not related to REST/Web API,,
40016204,Designing and implementation of REST API application in Java for procesing of PostgreSQL databases,Horčička Serhij,2017,,String B,EXCLUDE,IC2 - Published before 2018,,
41010148,Exploring Protein-Protein Interactions as Drug Targets for Anti-cancer Therapy with In Silico Workflows,"A Goncearenco, A Goncearenco, A Marchler-Bauer, A Truszkowski, AA Bogan, B Graves, B Ma, BA Shoemaker, BA Shoemaker, BA Shoemaker, BJ Smith, CA Goble, CM Yates, D Petrey, E Cukuroglu, FP Davis, H Perez-Sanchez, HS Haase, J Bhagat, J Cinatl, JA Wells, K Wolstencroft, M Guharoy, M Li, M Li, M Li, M Petukh, M Tyagi, MK Gilson, MP Mazanetz, N Estrada-Ortiz, P Aloy, P Aloy, P Filippakopoulos, R Mosca, RR Thangudu, S Beisken, S Kim, S Shangary, S Teng, T Rolland, W Yang, WS Valdar, Y Wang, Y Zhao",2020,,String B,EXCLUDE,EC4 - Not related to REST/Web API,,
42844060,SDN as Active Measurement Infrastructure,"Beverly, Robert, Rye, Erik",2017,arXiv,String B,EXCLUDE,IC2 - Published before 2018,,
42845817,Finding Likely Errors with Bayesian Specifications,"Chaudhuri, Swarat, Jermaine, Chris, Murali, Vijayaraghavan",2017,arXiv,String B,EXCLUDE,IC2 - Published before 2018,,
42867000,Opportunities in Software Engineering Research for Web API Consumption,"Dolby, Julian, Laredo, Jim A., Slominski, Aleksander A., Wittern, Erik, Ying, Annie, Young, Christopher C., Zheng, Yunhui",2017,arXiv,String A,EXCLUDE,IC2 - Published before 2018,,
42867860,"Report of the HPC Correctness Summit, Jan 25--26, 2017, Washington, DC","Gopalakrishnan, Ganesh, Hovland, Paul D., Iancu, Costin, Krishnamoorthy, Sriram, Laguna, Ignacio, Lethin, Richard A., Sen, Koushik, Siegel, Stephen F., Solar-Lezama, Armando",2017,arXiv,String B,EXCLUDE,IC2 - Published before 2018,,
42874090,Runtime Verification for Business Processes Utilizing the Bitcoin   Blockchain,"Hochreiner, Christoph, Prybila, Christoph, Schulte, Stefan, Weber, Ingo",2017,arXiv,String B,EXCLUDE,IC2 - Published before 2018,,
42889605,Exploring Social Media for Event Attendance,"de Lira, Vinicius Monteiro, Macdonald, Craig, Ounis, Iadh, Perego, Raffaele, Renso, Chiara, Times, Valeria Cesario",2017,ACM,String B,EXCLUDE,IC2 - Published before 2018,,
43118641,Decoupled-IFTTT: Constraining Privilege in Trigger-Action Platforms for   the Internet of Things,"Fernandes, Earlence, Jung, Jaeyeon, Prakash, Atul, Rahmati, Amir",2017,arXiv,String B,EXCLUDE,IC2 - Published before 2018,,
43121387,DeepProf: Performance Analysis for Deep Learning Applications via Mining   GPU Execution Patterns,"Gu, Jiazhen, Liu, Huan, Wang, Xin, Zhou, Yangfan",2017,arXiv,String B,EXCLUDE,IC2 - Published before 2018,,
43511233,Implementasi Rest Web Service Untuk Sales Order Dan Sales Tracking Berbasis Mobile,"Kurniawan, E. (Erick)",2017,,String A,EXCLUDE,IC2 - Published before 2018,,
43883876,E-QED: Electrical Bug Localization During Post-Silicon Validation   Enabled by Quick Error Detection and Formal Methods,"B Vermeulen, D Lin, E Clarke, FM Paula De, HF Ko, M Abramovici, M Dusanapudi, NR Saxena, PH Bardell, PN Sanda, RB Jones, S-B Park, T Larrabee",2017,arXiv,String B,EXCLUDE,IC2 - Published before 2018,,
43887593,Has the Online Discussion Been Manipulated? Quantifying Online   Discussion Authenticity within Online Social Media,"Bendahan, Jorge, Elyashar, Aviad, Puzis, Rami",2017,arXiv,String B,EXCLUDE,IC2 - Published before 2018,,
43961900,The pragmatic proof: hypermedia API composition and execution,"Arndt, Dorthe, De Roo, Jos, Gabarró Vallès, Joaquim, Mels, Giovanni, Steiner, Thomas, Van Hoecke, Sofie, Verborgh, Ruben",2017,,String A,EXCLUDE,IC2 - Published before 2018,,
44614722,A Practical Python API for Querying AFLOWLIB,"Rosenbrock, Conred W.",2017,arXiv,String B,EXCLUDE,IC2 - Published before 2018,,
44618461,Practical Integer Overflow Prevention,"Eckert, Claudia, Grossklags, Jens, Muntean, Paul",2017,arXiv,String B,EXCLUDE,IC2 - Published before 2018,,
45155738,ICN-aware Network Slicing Framework for Mobile Data Distribution,"Amin, Syed Obaid, Azgin, Aytac, Chakraborti, Asit, Ravindran, Ravishankar, Wang, Guoqiang",2017,arXiv,String B,EXCLUDE,IC2 - Published before 2018,,
45953956,Trailing the Snail: SDN Controller Security Evolution,"Scott-Hayward, Sandra",2017,arXiv,String B,EXCLUDE,IC2 - Published before 2018,,
45955665,AFLOW-ML: A RESTful API for machine-learning predictions of materials   properties,"Carrete, Jesús, Curtarolo, Stefano, Gossett, Eric, Isayev, Olexandr, Legrain, Fleur, Mingo, Natalio, Oses, Corey, Rose, Frisco, Toher, Cormac, Tropsha, Alexander, Zurek, Eva",2017,arXiv,String B,EXCLUDE,IC2 - Published before 2018,,
